canonical_smiles,standard_value,log_papp
C=C(C)CN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1,9.8,0.9912260756924949
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,22.66,1.3552599055273784
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1OC(=O)N(C)CC,18.81,1.2743887955503788
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1OC(=O)N(C)Cc1ccc(Cl)cc1,12.9,1.110589710299249
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC6=C(C7C(=O)N(c8ccccc8)C(=O)C7C=C6C(F)(F)F)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.07,-1.154901959985743
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,2.9799999999999995,0.47421626407625517
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6cccc(N)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.8915,-0.049878652488626614
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6cccc(O)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.58,0.7466341989375788
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6c(C(F)(F)F)cc(=O)oc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.09000000000000001,-1.045757490560675
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6c(C(F)(F)F)cc(C(=O)OC)c(C(=O)OC)c6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,3.0949999999999998,0.49066065335613673
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6cccnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.21,-0.6777807052660807
